inhibitor	targets	family	mechanism	clinical_tier	analogue	exposure	resistance
17-AAG (Tanespimycin)	HSP90AA1|HSP90AB1	HSP90	HSP90 ATPase inhibitor; destabilises kinase clients	trial	—	borderline	HSPA1A/HSF1 heat-shock response
A-674563	AKT1|PRKACA	AKT	ATP-competitive AKT1/PKA inhibitor	research	MK-2206	not_established	PI3K pathway reactivation
ABT-737	BCL2|BCL2L1|BCL2L2	BCL2	BH3 mimetic; BCL2/BCL-xL/BCL-w	research	Venetoclax|Navitoclax	not_established	MCL1 upregulation|BAX/BAK loss
AGI-5198	IDH1	IDH	mutant-IDH1 R132 inhibitor	research	Ivosidenib	not_established	IDH isoform switch|receptor-tyrosine-kinase co-mutation
AGI-6780	IDH2	IDH	mutant-IDH2 R140 inhibitor	research	Enasidenib	not_established	IDH isoform switch|differentiation syndrome escape
AT7519	CDK1|CDK2|CDK4|CDK5|CDK9	CDK	multi-CDK inhibitor; transcriptional CDK9	trial	Alvocidib	borderline	MCL1 re-expression
AZD1152-HQPA (AZD2811)	AURKB	Aurora	Aurora-B kinase inhibitor (barasertib active metabolite)	trial	—	clinically_achievable	AURKB gatekeeper mutation|TP53 loss
AZD1480	JAK2	JAK	ATP-competitive JAK2 inhibitor	trial	Ruxolitinib	borderline	JAK2 heterodimer persistence
Afatinib (BIBW-2992)	EGFR|ERBB2|ERBB4	ERBB	irreversible pan-ERBB inhibitor	approved_other	—	clinically_achievable	EGFR C797S|bypass MET
Alisertib (MLN8237)	AURKA	Aurora	selective Aurora-A inhibitor	trial	—	clinically_achievable	AURKA amplification|TP53 loss
Artemisinin	—	other	heme-activated endoperoxide; oxidative stress	research	Artesunate	not_established	antioxidant capacity (GPX4/NRF2)
Axitinib (AG-013736)	KDR|FLT1|FLT4|PDGFRB|KIT	VEGFR	VEGFR1-3 selective inhibitor	approved_other	—	clinically_achievable	VEGF-independent angiogenesis
Azacytidine	DNMT1	hypomethylating	cytidine analogue; DNMT1 depletion + RNA incorporation	approved_AML	Decitabine	clinically_achievable	DCK loss|SLC29A1 (hENT1) loss|CDA overexpression
BEZ235	MTOR|PIK3CA	PI3K/mTOR	dual pan-PI3K / mTORC1-2 inhibitor	trial	—	borderline	AKT-independent 4EBP1 signalling
BMS-345541	IKBKB|CHUK	NF-kB	allosteric IKKb/IKKa inhibitor	research	—	not_established	non-canonical NF-kB
Bay 11-7085	NFKBIA|IKBKB	NF-kB	irreversible IkBa phosphorylation inhibitor	research	—	not_established	off-target thiol reactivity
Bortezomib (Velcade)	PSMB5	proteasome	reversible 20S b5 proteasome inhibitor	approved_other	Carfilzomib	clinically_achievable	PSMB5 mutation|proteasome subunit upregulation
Bosutinib (SKI-606)	ABL1|SRC	ABL/SRC	dual SRC/ABL inhibitor	approved_other	—	clinically_achievable	BCR-ABL1 T315I
CI-1040 (PD184352)	MAP2K1|MAP2K2	MEK	allosteric MEK1/2 inhibitor	trial	Trametinib	borderline	MAP2K1 mutation|RTK feedback
CYT387	JAK1|JAK2|ACVR1	JAK	JAK1/2 + ACVR1 inhibitor (momelotinib)	approved_other	—	clinically_achievable	JAK2 persistence|type-II JAK activation
Cabozantinib	MET|KDR|AXL|RET|FLT3	MET/VEGFR	multi-kinase MET/VEGFR2/AXL inhibitor	approved_other	—	clinically_achievable	MET amplification|AXL bypass
Canertinib (CI-1033)	EGFR|ERBB2|ERBB4	ERBB	irreversible pan-ERBB inhibitor	trial	Afatinib	borderline	ERBB bypass signalling
Cediranib (AZD2171)	KDR|FLT1|FLT4|KIT|PDGFRB	VEGFR	pan-VEGFR inhibitor	trial	—	clinically_achievable	VEGF-independent angiogenesis
Crenolanib	FLT3|PDGFRA|PDGFRB	FLT3	type-I FLT3 inhibitor; active against TKD	trial	Gilteritinib	clinically_achievable	RAS/MAPK activation|monocytic differentiation
Crizotinib (PF-2341066)	ALK|MET|ROS1	ALK/MET	ATP-competitive ALK/MET/ROS1 inhibitor	approved_other	—	clinically_achievable	ALK L1196M|MET amplification
DBZ	PSEN1|NOTCH1	NOTCH	gamma-secretase inhibitor (dibenzazepine)	research	—	not_established	NOTCH-independent MYC
Dasatinib	ABL1|SRC|LCK|YES1|KIT|PDGFRB|BTK	ABL/SRC	multi-kinase SRC-family/ABL inhibitor	approved_other	—	clinically_achievable	BCR-ABL1 T315I|SRC-independent survival
Doramapimod (BIRB 796)	MAPK14|MAPK11	p38	allosteric (type-II) p38 MAPK inhibitor	research	—	not_established	JNK compensation
Dovitinib (CHIR-258)	FGFR1|FGFR3|KDR|FLT3|KIT	FGFR	multi-targeted FGFR/VEGFR/FLT3 inhibitor	trial	—	borderline	FGFR gatekeeper mutation
Elesclomol	FDX1	metabolic	copper ionophore; mitochondrial oxidative stress	trial	—	borderline	glycolytic shift|low FDX1
Entospletinib (GS-9973)	SYK	SYK	selective SYK inhibitor	trial	—	clinically_achievable	SYK-independent BCR/ITAM signalling
Entrectinib	NTRK1|NTRK2|NTRK3|ALK|ROS1	NTRK/ALK	pan-TRK / ROS1 / ALK inhibitor	approved_other	—	clinically_achievable	NTRK solvent-front mutation
Erlotinib	EGFR	EGFR	reversible EGFR inhibitor	approved_other	—	clinically_achievable	EGFR-independent survival (off-target in AML)
